PRODREST,PFStep1,PFStep2,PFStep3,PFStep4,PFStep5,PFStep6
Jan,13.52873628,9.219028045,5.246601326,3.822523823,3.297863691,2.360970597
Feb,14.84029747,10.11277888,5.755240015,4.193103439,3.617579438,2.589858007
Mar,14.23679381,9.701527083,5.521194275,4.0225844,3.470464973,2.484537424
Apr,13.13234405,8.948910348,5.092875808,3.710523803,3.201236222,2.291794114
May,11.88067024,8.095969196,4.607462144,3.356865276,2.896119062,2.073357965
Jun,10.62378452,7.239476433,4.120027238,3.001734131,2.589731407,1.854012257
Jul,9.426202145,6.423395367,3.655590859,2.663359055,2.297799969,1.645015887
Aug,8.317135377,5.667632418,3.225481864,2.349993929,2.027445743,1.451466839
Sep,7.30788285,4.979886928,2.834081992,2.064831165,1.781422966,1.275336896
Oct,6.400174256,4.361337582,2.482062038,1.808359485,1.560153281,1.116927917
Nov,0,0,0,0,0,0
Dec,0,0,0,0,0,0
