PH,CH,FE,LU,PA,PH,PL,PR,RB,RP,RE,RS,WC,MA,SO,KI,LA,WH,RA,PE,RR,MAxWH,MAxRA,MAxPE,MAxRR,SOxWH,SOxRA,SOxPE,SOxRR,KIxWH,KIxRA,KIxPE,KIxRR,LAxWH,LAxRA,LAxPE,LAxRR
Hay,27.2,24.4,26.4,21.7,27.2,27.7,27.6,26.6,24.6,27.5,28.2,26.8,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,15.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,26.2,25.9,25.9,30.0,20.5,20.2,20.2
Silage,27.2,24.4,26.4,21.7,27.2,27.7,27.6,26.6,24.6,27.5,28.2,26.8,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,15.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,26.2,25.9,25.9,30.0,20.5,20.2,20.2
