MP,Contract,Spot
Jan,0.47,0.31
Feb,0.47,0.31
Mar,0.47,0.31
Apr,0.47,0.31
May,0.47,0.31
Jun,0.47,0.31
Jul,0.47,0.31
Aug,0.47,0.31
Sep,0.47,0.31
Oct,0.47,0.31
Nov,0.47,0.31
Dec,0.47,0.31
