,"capital","LABOUR","output","SAVING","DEPR","INVEST","CONSUMP","NET INV"
"t293", 8.910317447084E+04, 3.310170212532E+04, 4.455158725748E+04, 8.910317451496E+03, 2.673095234125E+03, 4.455158723542E+03, 3.564126980598E+04, 4.455158727953E+03
"t294", 9.088523796467E+04, 3.376373616783E+04, 4.544261900329E+04, 9.088523800658E+03, 2.726557138940E+03, 4.544261898234E+03, 3.635409520263E+04, 4.544261902424E+03
"t295", 9.270294272816E+04, 3.443901089119E+04, 4.635147138398E+04, 9.270294276797E+03, 2.781088281845E+03, 4.635147136408E+03, 3.708117710719E+04, 4.635147140389E+03
"t296", 9.455700158670E+04, 3.512779110901E+04, 4.727850081226E+04, 9.455700162452E+03, 2.836710047601E+03, 4.727850079335E+03, 3.782280064981E+04, 4.727850083117E+03
"t297", 9.644814162222E+04, 3.583034693119E+04, 4.822407082907E+04, 9.644814165815E+03, 2.893444248666E+03, 4.822407081111E+03, 3.857925666326E+04, 4.822407084704E+03
"t298", 9.837710445825E+04, 3.654695386981E+04, 4.918855224619E+04, 9.837710449239E+03, 2.951313133748E+03, 4.918855222913E+03, 3.935084179695E+04, 4.918855226326E+03
"t299", 1.003446465508E+05, 3.727789294721E+04, 5.017232329163E+04, 1.003446465833E+04, 3.010339396525E+03, 5.017232327542E+03, 4.013785863330E+04, 5.017232330784E+03
"t300", 1.023515394851E+05, 3.802345080615E+04, 5.117576975795E+04, 1.023515395159E+04, 3.070546184553E+03, 5.117576974255E+03, 4.094061580636E+04, 5.117576977335E+03
"t301", 1.043985702779E+05, 3.878391982228E+04, 5.219928515357E+04, 1.043985703071E+04, 3.131957108336E+03, 5.219928513894E+03, 4.175942812286E+04, 5.219928516820E+03
"t302", 1.064865416864E+05, 3.955959821872E+04, 5.324327085708E+04, 1.064865417142E+04, 3.194596250591E+03, 5.324327084318E+03, 4.259461668566E+04, 5.324327087098E+03
"t303", 1.086162725229E+05, 4.035079018310E+04, 5.430813627464E+04, 1.086162725493E+04, 3.258488175686E+03, 5.430813626143E+03, 4.344650901971E+04, 5.430813628784E+03
"t304", 1.107885979760E+05, 4.115780598676E+04, 5.539429900053E+04, 1.107885980011E+04, 3.323657939279E+03, 5.539429898798E+03, 4.431543920042E+04, 5.539429901307E+03
"t305", 1.130043699380E+05, 4.198096210649E+04, 5.650218498091E+04, 1.130043699618E+04, 3.390131098140E+03, 5.650218496900E+03, 4.520174798473E+04, 5.650218499283E+03
"t306", 1.152644573391E+05, 4.282058134862E+04, 5.763222868089E+04, 1.152644573618E+04, 3.457933720174E+03, 5.763222866957E+03, 4.610578294471E+04, 5.763222869221E+03
"t307", 1.175697464882E+05, 4.367699297560E+04, 5.878487325485E+04, 1.175697465097E+04, 3.527092394645E+03, 5.878487324409E+03, 4.702789860388E+04, 5.878487326560E+03
"t308", 1.199211414201E+05, 4.455053283511E+04, 5.996057072027E+04, 1.199211414405E+04, 3.597634242603E+03, 5.996057071005E+03, 4.796845657621E+04, 5.996057073048E+03
"t309", 1.223195642505E+05, 4.544154349181E+04, 6.115978213498E+04, 1.223195642700E+04, 3.669586927516E+03, 6.115978212527E+03, 4.892782570798E+04, 6.115978214469E+03
"t310", 1.247659555375E+05, 4.635037436165E+04, 6.238297777797E+04, 1.247659555559E+04, 3.742978666125E+03, 6.238297776875E+03, 4.990638222238E+04, 6.238297778719E+03
"t311", 1.272612746501E+05, 4.727738184888E+04, 6.363063733381E+04, 1.272612746676E+04, 3.817838239503E+03, 6.363063732504E+03, 5.090450986704E+04, 6.363063734257E+03
"t312", 1.298065001448E+05, 4.822292948586E+04, 6.490325008074E+04, 1.298065001615E+04, 3.894195004345E+03, 6.490325007242E+03, 5.192260006460E+04, 6.490325008907E+03
"t313", 1.324026301494E+05, 4.918738807557E+04, 6.620131508261E+04, 1.324026301652E+04, 3.972078904482E+03, 6.620131507470E+03, 5.296105206609E+04, 6.620131509052E+03
"t314", 1.350506827540E+05, 5.017113583709E+04, 6.752534138450E+04, 1.350506827690E+04, 4.051520482619E+03, 6.752534137699E+03, 5.402027310760E+04, 6.752534139201E+03
"t315", 1.377516964106E+05, 5.117455855383E+04, 6.887584821241E+04, 1.377516964248E+04, 4.132550892317E+03, 6.887584820528E+03, 5.510067856993E+04, 6.887584821955E+03
"t316", 1.405067303402E+05, 5.219804972490E+04, 7.025336517688E+04, 1.405067303538E+04, 4.215201910206E+03, 7.025336517010E+03, 5.620269214150E+04, 7.025336518366E+03
"t317", 1.433168649484E+05, 5.324201071940E+04, 7.165843248062E+04, 1.433168649612E+04, 4.299505948451E+03, 7.165843247418E+03, 5.732674598449E+04, 7.165843248706E+03
"t318", 1.461832022486E+05, 5.430685093379E+04, 7.309160113042E+04, 1.461832022608E+04, 4.385496067458E+03, 7.309160112430E+03, 5.847328090434E+04, 7.309160113654E+03
"t319", 1.491068662948E+05, 5.539298795247E+04, 7.455343315321E+04, 1.491068663064E+04, 4.473205988844E+03, 7.455343314740E+03, 5.964274652257E+04, 7.455343315903E+03
"t320", 1.520890036219E+05, 5.650084771151E+04, 7.604450181645E+04, 1.520890036329E+04, 4.562670108656E+03, 7.604450181093E+03, 6.083560145316E+04, 7.604450182197E+03
"t321", 1.551307836954E+05, 5.763086466575E+04, 7.756539185295E+04, 1.551307837059E+04, 4.653923510862E+03, 7.756539184770E+03, 6.205231348236E+04, 7.756539185819E+03
"t322", 1.582333993704E+05, 5.878348195906E+04, 7.911669969016E+04, 1.582333993803E+04, 4.747001981111E+03, 7.911669968518E+03, 6.329335975213E+04, 7.911669969515E+03
"t323", 1.613980673588E+05, 5.995915159824E+04, 8.069903368412E+04, 1.613980673682E+04, 4.841942020763E+03, 8.069903367938E+03, 6.455922694729E+04, 8.069903368885E+03
"t324", 1.646260287069E+05, 6.115833463021E+04, 8.231301435794E+04, 1.646260287159E+04, 4.938780861207E+03, 8.231301435344E+03, 6.585041148635E+04, 8.231301436244E+03
"t325", 1.679185492819E+05, 6.238150132281E+04, 8.395927464523E+04, 1.679185492905E+04, 5.037556478458E+03, 8.395927464096E+03, 6.716741971619E+04, 8.395927464951E+03
"t326", 1.712769202684E+05, 6.362913134927E+04, 8.563846013827E+04, 1.712769202765E+04, 5.138307608053E+03, 8.563846013421E+03, 6.851076811061E+04, 8.563846014233E+03
"t327", 1.747024586746E+05, 6.490171397625E+04, 8.735122934115E+04, 1.747024586823E+04, 5.241073760238E+03, 8.735122933730E+03, 6.988098347292E+04, 8.735122934501E+03
"t328", 1.781965078489E+05, 6.619974825578E+04, 8.909825392809E+04, 1.781965078562E+04, 5.345895235466E+03, 8.909825392443E+03, 7.127860314247E+04, 8.909825393176E+03
