,"capital","LABOUR","output","SAVING","DEPR","INVEST","CONSUMP","NET INV"
"t384", 5.401430687952E+05, 2.006623788869E+05, 2.700715343978E+05, 5.401430687956E+04, 1.620429206386E+04, 2.700715343976E+04, 2.160572275182E+05, 2.700715343980E+04
"t385", 5.509459301711E+05, 2.046756264646E+05, 2.754729650858E+05, 5.509459301715E+04, 1.652837790513E+04, 2.754729650856E+04, 2.203783720686E+05, 2.754729650860E+04
"t386", 5.619648487746E+05, 2.087691389939E+05, 2.809824243875E+05, 5.619648487750E+04, 1.685894546324E+04, 2.809824243873E+04, 2.247859395100E+05, 2.809824243877E+04
"t387", 5.732041457501E+05, 2.129445217738E+05, 2.866020728752E+05, 5.732041457505E+04, 1.719612437250E+04, 2.866020728751E+04, 2.292816583002E+05, 2.866020728754E+04
"t388", 5.846682286652E+05, 2.172034122092E+05, 2.923341143328E+05, 5.846682286655E+04, 1.754004685996E+04, 2.923341143326E+04, 2.338672914662E+05, 2.923341143329E+04
"t389", 5.963615932385E+05, 2.215474804534E+05, 2.981807966194E+05, 5.963615932388E+04, 1.789084779716E+04, 2.981807966193E+04, 2.385446372955E+05, 2.981807966196E+04
"t390", 6.082888251033E+05, 2.259784300625E+05, 3.041444125518E+05, 6.082888251036E+04, 1.824866475310E+04, 3.041444125517E+04, 2.433155300414E+05, 3.041444125520E+04
"t391", 6.204546016054E+05, 2.304979986637E+05, 3.102273008028E+05, 6.204546016057E+04, 1.861363804816E+04, 3.102273008027E+04, 2.481818406423E+05, 3.102273008030E+04
"t392", 6.328636936375E+05, 2.351079586370E+05, 3.164318468189E+05, 6.328636936378E+04, 1.898591080913E+04, 3.164318468188E+04, 2.531454774551E+05, 3.164318468190E+04
"t393", 6.455209675103E+05, 2.398101178098E+05, 3.227604837553E+05, 6.455209675106E+04, 1.936562902531E+04, 3.227604837552E+04, 2.582083870042E+05, 3.227604837554E+04
"t394", 6.584313868606E+05, 2.446063201660E+05, 3.292156934304E+05, 6.584313868608E+04, 1.975294160582E+04, 3.292156934303E+04, 2.633725547443E+05, 3.292156934305E+04
"t395", 6.716000145978E+05, 2.494984465693E+05, 3.358000072990E+05, 6.716000145980E+04, 2.014800043793E+04, 3.358000072989E+04, 2.686400058392E+05, 3.358000072991E+04
"t396", 6.850320148898E+05, 2.544884155007E+05, 3.425160074450E+05, 6.850320148900E+04, 2.055096044669E+04, 3.425160074449E+04, 2.740128059560E+05, 3.425160074451E+04
"t397", 6.987326551876E+05, 2.595781838107E+05, 3.493663275939E+05, 6.987326551878E+04, 2.096197965563E+04, 3.493663275938E+04, 2.794930620751E+05, 3.493663275940E+04
"t398", 7.127073082914E+05, 2.647697474869E+05, 3.563536541458E+05, 7.127073082916E+04, 2.138121924874E+04, 3.563536541457E+04, 2.850829233166E+05, 3.563536541459E+04
"t399", 7.269614544572E+05, 2.700651424366E+05, 3.634807272287E+05, 7.269614544574E+04, 2.180884363372E+04, 3.634807272286E+04, 2.907845817830E+05, 3.634807272288E+04
"t400", 7.415006835464E+05, 2.754664452854E+05, 3.707503417733E+05, 7.415006835466E+04, 2.224502050639E+04, 3.707503417732E+04, 2.966002734186E+05, 3.707503417734E+04
