MEMAINTs,ME
Jan,66.859
Feb,71.619
Mar,76.379
Apr,81.139
May,89.75233333
Jun,93.60566667
Jul,93.60566667
Aug,97.7031864
Sep,100.9268089
Oct,102.229944
Nov,109.9705546
Dec,124.3059387
