FH,CH,FE,LU,PA,PH,PL,PR,RB,RP,RE,RS,WC,MA,SO,KI,LA,WH,RA,PE,RR,MAxWH,MAxRA,MAxPE,MAxRR,SOxWH,SOxRA,SOxPE,SOxRR,KIxWH,KIxRA,KIxPE,KIxRR,LAxWH,LAxRA,LAxPE,LAxRR
Hay,30.4,52.0,37.8,64.9,49.4,45.0,51.5,49.3,51.3,38.5,26.4,30.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,25.3,40.0,49.1,44.1,35.8,40.0,37.8,32.8,24.4
Silage,30.4,52.0,37.8,64.9,49.4,45.0,51.5,49.3,51.3,38.5,26.4,30.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,25.3,40.0,49.1,44.1,35.8,40.0,37.8,32.8,24.4
