xMultiSolvesDummy,dMAxWH,dKIxRR,dRP,dMA,dMinPercent,dWater,dMaxCows,dPRlim,dRPlim,dUni,dSeas,dSeasC,d6000s,d9000s
Dummy1,1,0,0,0,0,67,800,0,0,1,0,1,1,0
Dummy2,1,0,0,0,0,67,800,0,0,1,0,1,1,
