RDPH,CH,FE,LU,PA,PH,PL,PR,RB,RP,RE,RS,WC,MA,SO,KI,LA,WH,RA,PE,RR,MAxWH,MAxRA,MAxPE,MAxRR,SOxWH,SOxRA,SOxPE,SOxRR,KIxWH,KIxRA,KIxPE,KIxRR,LAxWH,LAxRA,LAxPE,LAxRR
Hay,153.00,152.00,131.00,128.00,166.00,1111.00,162.00,166.00,142.00,134.00,162.00,181.00,24.00,103.00,132.00,100.00,152.00,130.00,160.00,186.00,152.00,130.00,160.00,186.00,152.00,130.00,160.00,186.00,152.00,130.00,160.00,186.00,152.00,130.00,160.00,186.00
Silage,153.00,152.00,131.00,128.00,166.00,1111.00,162.00,166.00,142.00,134.00,162.00,181.00,24.00,103.00,132.00,100.00,152.00,130.00,160.00,186.00,152.00,130.00,160.00,186.00,152.00,130.00,160.00,186.00,152.00,130.00,160.00,186.00,152.00,130.00,160.00,186.00
