UDPH,CH,FE,LU,PA,PH,PL,PR,RB,RP,RE,RS,WC,MA,SO,KI,LA,WH,RA,PE,RR,MAxWH,MAxRA,MAxPE,MAxRR,SOxWH,SOxRA,SOxPE,SOxRR,KIxWH,KIxRA,KIxPE,KIxRR,LAxWH,LAxRA,LAxPE,LAxRR
Hay,136,101,76,69,119,143,148,123,101,108,112,117,58,114,121,75,130,141,150,86,130,141,150,86,130,141,150,86,130,141,150,86,130,141,150,86
Silage,136,101,76,69,119,143,148,123,101,108,112,117,58,114,121,75,130,141,150,86,130,141,150,86,130,141,150,86,130,141,150,86,130,141,150,86
