MEH,CH,FE,LU,PA,PH,PL,PR,RB,RP,RE,RS,WC,MA,SO,KI,LA,WH,RA,PE,RR,MAxWH,MAxRA,MAxPE,MAxRR,SOxWH,SOxRA,SOxPE,SOxRR,KIxWH,KIxRA,KIxPE,KIxRR,LAxWH,LAxRA,LAxPE,LAxRR
Hay,9.8,9.8,9.4,9.0,10.2,9.5,10.5,10.4,10.7,9.5,10.3,9.9,9.7,7.3,9.6,7.3,10.2,10.6,9.7,10.6,10.0,9.9,9.7,9.9,8.9,8.8,8.2,8.7,10.0,10.2,9.8,10.1,9.1,8.9,8.3,8.9
Silage,9.8,9.8,9.4,9.0,10.2,9.5,10.5,10.4,10.7,9.5,10.3,9.9,9.7,7.3,9.6,7.3,10.2,10.6,9.7,10.6,10.0,9.9,9.7,9.9,8.9,8.8,8.2,8.7,10.0,10.2,9.8,10.1,9.1,8.9,8.3,8.9
